,STATE,AVGGIFT
1225,OK,11.5
1226,CA,13.0
1227,TX,20.0
1228,MI,20.0
1229,CA,10.0
1230,KY,11.0
1231,WI,15.0
1232,AZ,18.08333333
1233,FL,7.745641026
1234,IL,7.411764706
1235,IA,9.615384615
1236,TX,16.4
1237,OK,11.25
1238,LA,3.0
1239,TN,10.0
1240,MI,15.0
1241,IN,15.33333333
1242,AP,17.5
1243,AZ,12.5
1244,NC,50.0
1245,TX,8.2
1246,FL,7.8
1247,MN,20.0
1248,CA,25.0
1249,MN,13.0
1250,WA,5.6
1251,NM,18.0
1252,MO,13.71428571
1253,SC,5.8
1254,CA,11.75
1255,IL,32.15384615
1256,MI,14.05263158
1257,FL,25.0
1258,GA,14.45454546
1259,KY,8.0
1260,NC,20.0
1261,TX,19.0
1262,AP,15.33333333
1263,MI,6.421052632
1264,SC,12.0
1265,MI,18.0
1266,OR,7.166666667
1267,FL,31.71428571
1268,KS,4.238095238
1269,AL,12.0
1270,CA,4.8
1271,TN,19.2
1272,FL,20.0
1273,IN,11.17647059
1274,LA,8.666666667
1275,TX,15.83333333
1276,GA,10.0
1277,FL,7.736842105
1278,CA,10.66666667
1279,CA,30.0
1280,IN,13.33333333
1281,WI,13.84210526
1282,FL,9.083333333
1283,WI,7.75
1284,FL,20.0
1285,WA,25.0
1286,IN,12.5
1287,TN,19.11111111
1288,CA,10.92307692
1289,CA,11.28571429
1290,CA,15.33333333
1291,FL,13.375
1292,KS,6.081081081
1293,IL,9.0625
1294,GA,8.333333333
1295,CA,4.411764706
1296,MN,5.375
1297,OK,23.5
1298,MI,20.33333333
1299,WI,14.0
1300,SC,9.333333333
1301,IN,21.66666667
1302,GA,18.33333333
1303,LA,5.8
1304,FL,10.46153846
1305,GA,5.434782609
1306,CA,11.85714286
1307,NM,15.0
1308,CA,12.5
1309,CA,9.0
1310,NV,10.18518519
1311,MN,6.777777778
1312,IL,10.44444444
1313,OK,11.0
1314,TX,4.789473684
1315,FL,13.42857143
1316,GA,9.944444444
1317,WI,5.91025641
1318,KY,12.0
1319,GA,5.166666667
1320,MS,10.0
1321,CA,13.0
1322,OR,9.24
1323,SD,11.75
1324,NV,18.37931035
1325,SD,14.09090909
1326,NC,24.5
1327,TX,5.0
1328,FL,7.222222222
1329,FL,11.0
1330,MI,8.0
1331,WA,22.5
1332,CA,7.0
1333,KY,8.75
1334,FL,8.333333333
1335,CA,22.2
1336,TX,17.0
1337,MS,14.2
1338,FL,9.0
1339,CA,6.8
1340,TX,3.857142857
1341,CA,14.0
1342,TX,7.625
1343,CA,10.0
1344,WI,5.833333333
1345,FL,15.0
1346,CA,9.0
1347,GA,7.466666667
1348,CO,9.0
1349,WI,7.181818182
1350,MS,16.0
1351,ID,8.36
1352,GA,8.818181818
1353,CA,13.33333333
1354,OR,8.083333333
1355,IL,75.0
1356,NV,6.625
1357,AL,9.0
1358,IL,12.125
1359,TX,10.89473684
1360,WI,9.0
1361,IN,7.072727273
1362,MO,9.4
1363,MN,10.2
1364,CA,10.5
1365,MN,21.08333333
1366,MI,13.0
1367,TN,20.0
1368,WA,19.71428571
1369,NV,11.25
1370,CA,15.0
1371,TN,11.75
1372,FL,16.0
1373,OK,24.0
1374,CA,17.0
1375,MI,13.0
1376,TX,10.0
