controln,state,gender,medianhv,ic1,ic4,hvp1,percapita,pobc1,pobc2,ic2,ic3,avggift,tcode,dob,domain,target_d
148911,Cali,F,1953.0,454,564.0,47,21667.0,11,47,526.0,478,15.5,28,7201,C2,10.0
52990,TN,M,927.0,299,410.0,1,14428.0,1,56,322.0,372,5.0,1002,3801,T2,26.0
148022,Cali,F,2098.0,305,368.0,56,13564.0,56,25,311.0,352,6.076923077,0,4608,U2,10.0
147406,Cali,M,5209.0,1054,1128.0,99,52654.0,7,47,1220.0,1058,30.94117647,1002,2801,U1,38.0
103468,MO,F,476.0,219,319.0,0,10966.0,1,74,280.0,272,7.1,0,4103,T2,15.0
84100,MN,M,1515.0,648,781.0,17,25787.0,6,63,684.0,717,14.0,72,3201,S1,14.0
137548,AZ,M,2158.0,411,640.0,54,33235.0,7,12,516.0,535,7.933333333,0,2009,C1,9.0
6932,MO,M,1110.0,460,624.0,5,21875.0,2,58,544.0,538,7.264705882,1,1708,S1,10.0
37118,FL,,581.0,349,373.0,0,9667.0,19,53,361.0,359,9.857142857,0,2607,S2,15.0
109179,LA,M,563.0,259,342.0,3,10726.0,1,90,301.0,308,10.18181818,0,4201,R2,14.0
140642,NM,F,740.0,240,324.0,2,10701.0,9,26,288.0,294,5.0,2,2710,T2,5.0
77057,IA,F,516.0,332,379.0,0,13293.0,2,75,378.0,347,12.33333333,0,3601,S2,15.0
83131,MN,M,575.0,249,316.0,0,9843.0,0,86,282.0,290,10.0,1,0,R2,20.0
168078,Cali,M,2357.0,511,609.0,81,23786.0,26,55,540.0,570,13.66666667,1,3501,S1,19.0
32975,SC,M,645.0,304,376.0,0,6826.0,3,15,360.0,306,10.875,1,5908,S2,25.0
37472,FL,M,825.0,233,301.0,0,9747.0,63,21,239.0,290,20.0,1,0,C3,20.0
63113,IN,M,531.0,246,290.0,0,10423.0,2,70,278.0,272,5.375,0,2805,T2,5.0
57039,KY,F,195.0,131,179.0,0,5727.0,0,94,148.0,159,4.302325581,0,2911,R3,5.0
58786,KY,F,423.0,293,279.0,0,10343.0,0,82,297.0,274,6.055555556,0,2701,R2,20.0
164306,Cali,F,2725.0,629,734.0,83,24424.0,9,51,684.0,662,15.0,0,0,S2,30.0
113129,OK,F,359.0,220,299.0,0,13024.0,0,64,247.0,270,20.0,0,1501,S1,20.0
19094,CT,F,1373.0,472,517.0,2,17363.0,5,71,463.0,504,28.33333333,28,0,T1,40.0
102224,NJ,J,1439.0,370,464.0,3,13353.0,15,61,414.0,417,6.125,1002,0,S1,6.0
155375,Cali,F,889.0,398,495.0,0,13782.0,7,68,488.0,450,5.846153846,2,2201,S2,6.0
185030,FL,M,824.0,248,326.0,0,15008.0,15,7,274.0,288,10.15384615,0,1704,U1,10.0
149887,Cali,M,1993.0,442,520.0,49,16427.0,15,53,472.0,484,10.83333333,1,0,C3,15.0
117216,TX,F,618.0,233,394.0,0,12864.0,9,75,310.0,302,10.25,2,6201,S2,30.0
167892,Cali,F,3259.0,267,591.0,83,19399.0,17,49,626.0,508,7.666666667,0,0,U1,10.0
107618,NE,F,151.0,180,273.0,0,9138.0,0,68,208.0,230,2.361111111,0,1801,R3,2.0
72410,MI,M,492.0,272,402.0,0,14442.0,1,55,370.0,317,14.57142857,0,0,T2,20.0
112319,AR,Female,892.0,380,468.0,5,19444.0,2,21,406.0,426,17.0,2,3201,C1,30.0
28061,GA,F,948.0,531,584.0,1,19537.0,2,65,530.0,585,5.484848485,0,5902,T2,5.0
108371,LA,F,717.0,190,302.0,0,10888.0,21,62,313.0,235,24.16666667,28,1401,U2,20.0
187807,MI,M,612.0,330,400.0,1,13162.0,1,27,326.0,392,12.1,1,8305,R2,22.0
180383,WA,F,919.0,338,346.0,1,12507.0,5,56,337.0,349,8.214285714,0,609,C3,11.0
183013,WA,male,697.0,317,406.0,0,13561.0,3,34,364.0,337,10.0,1,3001,S2,11.0
187769,Cali,M,5059.0,693,847.0,99,29368.0,10,48,752.0,751,10.6,1,5403,S1,25.0
191056,Cali,M,5667.0,492,848.0,98,51280.0,11,35,808.0,594,28.83333333,1,801,U1,47.0
151891,Cali,F,2750.0,668,781.0,91,26199.0,10,44,701.0,717,11.44444444,0,0,S2,15.0
5822,KS,F,513.0,400,482.0,0,20842.0,3,66,434.0,436,6.07675,2,2901,S2,11.0
164969,Cali,F,1848.0,505,581.0,33,19729.0,28,49,515.0,560,5.684210526,0,6001,S1,7.0
172846,Cali,M,1417.0,406,508.0,18,18590.0,29,49,341.0,519,14.11111111,0,4201,C2,10.0
95951,IL,F,347.0,210,286.0,0,10356.0,6,74,255.0,229,8.076923077,0,4804,C3,20.0
18089,NC,M,994.0,404,530.0,2,17420.0,1,70,475.0,485,13.77777778,2,5001,C1,25.0
35276,FL,,3542.0,642,843.0,76,53131.0,3,31,690.0,807,6.642857143,2,1701,C1,10.0
18607,NC,M,797.0,377,451.0,2,16163.0,0,74,418.0,423,7.769230769,1,6001,T2,23.0
61275,IN,M,791.0,361,428.0,1,13805.0,1,74,407.0,390,7.636363636,1,4801,T2,12.0
36141,FL,F,957.0,408,459.0,16,17718.0,5,17,399.0,450,15.0,28,2805,C1,10.0
85716,MN,F,357.0,164,254.0,0,8443.0,1,78,214.0,215,25.0,0,2401,R3,25.0
154195,Cali,F,896.0,336,418.0,2,14513.0,7,46,362.0,389,20.0,0,0,T2,20.0
46755,AL,F,402.0,232,300.0,0,10540.0,1,86,249.0,276,4.833333333,0,0,R2,5.0
13239,FL,M,3083.0,166,332.0,52,16019.0,26,3,270.0,233,2.916666667,1,2901,C1,3.0
86068,SD,F,460.0,247,372.0,0,11245.0,1,69,357.0,300,9.363636364,0,0,R2,5.0
67900,MI,M,294.0,279,404.0,0,10385.0,2,80,355.0,391,17.5,1,4801,U4,20.0
59610,IN,F,1199.0,547,605.0,2,20694.0,0,69,556.0,597,10.0,28,2301,T1,15.0
13378,CA,F,1125.0,280,362.0,15,10857.0,10,51,336.0,305,5.714285714,0,2401,T2,7.0
20752,NC,M,974.0,252,330.0,3,13321.0,2,32,279.0,300,8.533333333,2,2001,C2,13.0
30934,GA,M,316.0,213,280.0,0,8956.0,0,79,238.0,254,12.5,0,905,R2,15.0
102163,MO,F,825.0,401,555.0,1,28003.0,4,49,463.0,464,25.0,0,4301,C1,30.0
128976,TX,F,642.0,271,312.0,0,9453.0,12,35,284.0,306,6.142857143,0,7001,S2,10.0
44088,IN,M,1263.0,468,601.0,21,26265.0,4,58,517.0,548,7.6875,1,3602,C1,10.0
154931,CA,F,1809.0,454,543.0,35,15886.0,12,44,466.0,503,8.0,28,0,C2,10.0
87939,IL,M,5294.0,1035,1065.0,96,60053.0,12,57,1165.0,1012,13.0,2,901,S1,30.0
140779,NV,F,1161.0,448,570.0,5,20691.0,8,14,484.0,536,5.75,0,4601,S1,6.0
113838,OK,F,295.0,150,248.0,0,8962.0,1,62,203.0,195,6.333333333,2,0,R3,8.0
156568,CA,,3020.0,756,823.0,95,26135.0,4,46,765.0,809,40.08333333,0,4812,S1,75.0
130485,CO,F,431.0,258,541.0,0,25828.0,3,32,342.0,386,8.571428571,0,3001,U2,16.0
101803,MO,F,544.0,264,340.0,0,16194.0,1,71,283.0,326,11.0,0,4701,C3,25.0
41899,FL,M,618.0,223,335.0,2,13341.0,7,22,278.0,278,7.846153846,1002,0,U3,10.0
30795,GA,M,323.0,183,210.0,2,7139.0,0,77,207.0,201,5.444444444,2,0,T3,10.0
133256,ID,M,1104.0,511,566.0,7,17366.0,3,50,528.0,534,13.0,2,2002,C1,10.0
151203,CA,U,2135.0,417,456.0,58,18907.0,10,55,417.0,433,8.2,0,0,0,5.0
31425,GA,M,671.0,287,441.0,3,16517.0,4,70,365.0,372,4.888888889,0,3901,T3,16.0
70524,MI,F,510.0,228,394.0,0,12576.0,1,80,370.0,324,10.8,0,3204,R2,23.0
161229,CA,F,650.0,302,318.0,13,7080.0,43,49,302.0,315,8.666666667,0,4201,R2,21.0
83181,MN,F,487.0,248,327.0,0,10792.0,1,88,287.0,286,12.72727273,0,0,R2,15.0
143528,CA,F,2925.0,288,376.0,83,23046.0,27,21,305.0,353,7.523809524,0,4905,U1,10.0
42970,FL,M,884.0,242,313.0,1,13491.0,6,6,268.0,271,4.428571429,1,0,T2,3.0
83708,MN,F,753.0,341,442.0,0,15502.0,1,80,393.0,373,8.4,28,5609,S1,10.0
101390,MO,F,594.0,337,347.0,1,13094.0,0,79,350.0,343,2.571428571,2,5701,C2,2.0
77898,WI,male,627.0,367,444.0,0,15350.0,6,71,427.0,394,7.5,1,2808,S2,10.0
77345,WI,male,806.0,331,447.0,0,15120.0,1,85,420.0,382,13.2,1,0,S1,16.0
142579,CA,F,3149.0,504,672.0,80,22033.0,8,33,601.0,562,10.71428571,0,201,U1,20.0
162209,CA,F,5266.0,495,785.0,96,43828.0,17,36,675.0,669,9.2,0,2005,S1,10.0
171396,CA,M,1401.0,441,466.0,1,15438.0,6,49,445.0,462,5.0,0,0,C2,6.0
129530,CO,M,593.0,163,230.0,0,9520.0,8,33,180.0,207,12.5,1,5401,S2,10.0
33773,FL,F,915.0,308,438.0,13,17783.0,8,19,357.0,367,13.0,0,0,R1,20.0
10031,NE,F,456.0,258,381.0,2,13411.0,2,75,311.0,314,7.285714286,0,3001,T2,10.0
62056,IN,M,610.0,319,407.0,0,11815.0,0,86,336.0,384,4.625,0,4601,R2,7.0
11494,FL,M,1229.0,469,544.0,21,17313.0,2,30,502.0,507,8.4,2,6501,T1,5.0
44847,FL,M,428.0,140,208.0,1,9064.0,7,35,196.0,171,9.769230769,0,5201,T2,10.0
94851,IL,F,2333.0,316,744.0,61,33535.0,18,45,643.0,420,7.307692308,2,1601,U1,10.0
15668,NC,M,707.0,383,433.0,0,13852.0,0,84,400.0,398,9.333333333,0,4101,R2,45.0
175579,OR,F,377.0,171,187.0,0,21980.0,16,42,199.0,219,16.66666667,0,4806,U4,20.0
150534,CA,U,1624.0,380,408.0,13,9685.0,38,47,382.0,407,5.0,980,0,U3,4.0
68441,MI,F,348.0,184,316.0,0,11686.0,0,71,269.0,264,27.5,0,4201,U4,30.0
157185,CA,F,1878.0,523,566.0,35,16084.0,8,62,526.0,564,6.785652174,0,0,C1,5.0
90816,IL,F,777.0,378,423.0,0,14106.0,6,84,386.0,396,17.8,0,5309,S2,20.0
94915,IL,F,1463.0,117,523.0,8,13344.0,26,60,439.0,266,12.16666667,0,4309,U1,15.0
118392,TX,M,375.0,153,248.0,0,7798.0,1,84,214.0,206,5.347826087,2,1701,R3,12.0
187571,IN,,561.0,302,331.0,1,10873.0,0,60,301.0,323,19.66666667,0,0,R2,26.0
21659,NC,M,502.0,199,261.0,1,8726.0,0,85,250.0,229,7.875,1002,5401,R2,10.0
157672,CA,M,4206.0,789,850.0,93,37411.0,19,36,804.0,834,12.66666667,2,3101,C1,10.0
64166,IN,M,800.0,283,425.0,4,15160.0,7,60,398.0,338,16.6,1,1701,T2,23.0
185304,CO,M,1472.0,625,732.0,27,27469.0,3,24,653.0,687,15.21428571,1,2505,T1,21.0
57963,KY,F,492.0,332,471.0,3,21410.0,0,71,450.0,425,8.4375,28,2709,C2,10.0
98249,IL,F,609.0,314,385.0,1,11360.0,0,92,347.0,349,6.666666667,0,0,R2,10.0
153689,CA,F,2430.0,604,669.0,85,20529.0,11,42,610.0,659,9.5,0,3001,S1,20.0
157807,CA,M,2559.0,581,651.0,84,21559.0,13,51,591.0,614,10.25,1,2401,S1,16.0
41715,FL,,696.0,272,427.0,7,16474.0,7,22,357.0,358,3.3,0,0,U3,3.0
45356,FL,M,762.0,254,411.0,7,17458.0,7,13,355.0,327,6.608695652,1,2006,U2,8.0
163506,CA,F,3556.0,735,805.0,98,34382.0,9,55,701.0,838,15.85714286,0,0,U1,15.0
107727,NE,F,441.0,260,353.0,0,12452.0,1,75,321.0,300,5.279069767,0,4007,T2,7.0
64212,IN,F,502.0,319,388.0,0,12989.0,1,80,363.0,341,15.66666667,0,2601,C2,20.0
60252,IN,M,673.0,284,373.0,0,15149.0,1,67,330.0,335,13.45454546,1,0,S2,15.0
45101,FL,F,1173.0,322,494.0,5,18738.0,7,14,424.0,407,4.125,2,0,C1,3.0
36528,FL,F,934.0,323,400.0,1,9980.0,73,17,373.0,376,25.0,0,2303,S2,25.0
38820,FL,M,1332.0,357,497.0,2,21444.0,14,15,411.0,422,9.576923077,2,1306,C1,20.0
133906,ID,F,451.0,225,294.0,1,10244.0,1,43,261.0,262,15.0,0,0,R2,10.0
12226,CO,F,649.0,238,302.0,0,10417.0,7,60,273.0,272,5.411764706,0,1301,C2,8.0
8696,OK,F,590.0,410,456.0,0,13115.0,1,65,439.0,433,13.0,2,0,T2,11.0
119368,TX,F,500.0,291,379.0,0,19609.0,6,50,316.0,314,11.5,28,4008,C1,25.0
14319,FL,M,368.0,230,295.0,0,9547.0,0,68,271.0,261,10.7,1,2601,S3,19.0
118408,TX,M,427.0,315,377.0,0,11299.0,2,86,365.0,340,9.0,1,2109,R2,15.0
146585,CA,F,1458.0,173,249.0,7,8381.0,40,38,191.0,220,4.243243243,0,0,U3,8.0
120115,TX,M,274.0,154,256.0,1,8881.0,6,84,214.0,199,40.875,1,701,R3,200.0
57463,KY,F,584.0,274,341.0,0,15105.0,3,62,287.0,336,11.14285714,0,2512,S2,10.0
94394,IL,F,553.0,306,348.0,0,9296.0,2,72,309.0,333,8.916666667,2,3308,U3,10.0
155135,CA,M,903.0,321,390.0,0,10985.0,8,54,406.0,358,6.75,1,3001,S3,7.0
149595,CA,M,2545.0,361,358.0,80,14300.0,38,37,304.0,386,12.5,1,6008,S2,17.0
166606,CA,F,1778.0,411,503.0,27,18236.0,21,41,480.0,439,39.44444444,0,3401,U1,50.0
8240,CA,,1187.0,328,428.0,11,13978.0,11,49,366.0,393,10.81481482,1,0,0,10.0
185904,TX,F,1448.0,651,724.0,18,24736.0,3,49,667.0,698,7.076923077,0,5801,S1,13.0
49351,AL,Male,712.0,377,472.0,1,15013.0,0,73,398.0,446,14.2,1,3401,T2,15.0
191779,FL,M,1432.0,636,772.0,24,35544.0,0,44,693.0,680,25.0,1,2701,0,150.0
169881,CA,F,2598.0,470,661.0,74,31631.0,9,36,557.0,562,8.222222222,0,0,C1,15.0
144356,CA,F,2855.0,311,537.0,78,18525.0,28,47,385.0,484,6.538461539,3,0,U2,20.0
186528,TX,F,535.0,244,402.0,3,17053.0,8,86,437.0,317,9.8125,2,2212,C2,15.0
14161,WA,male,703.0,161,232.0,0,8860.0,2,55,206.0,206,7.818181818,0,2805,T3,10.0
190839,IL,M,662.0,352,456.0,1,13460.0,17,60,406.0,394,12.5,1,5601,U3,15.0
146269,CA,F,2973.0,576,654.0,85,18497.0,39,41,591.0,624,7.25,2,4601,U1,10.0
188507,CA,F,2289.0,631,679.0,66,22571.0,8,61,647.0,657,9.769230769,2,2601,T1,10.0
116251,TX,F,1274.0,789,825.0,1,26360.0,4,31,798.0,804,6.409090909,0,505,S1,10.0
81945,WI,male,840.0,458,548.0,11,20327.0,1,79,471.0,513,15.0,1,6401,S1,20.0
8989,WA,F,1024.0,441,472.0,5,13462.0,5,46,451.0,446,10.5,2,1401,T2,32.0
47282,AL,F,558.0,336,398.0,0,13299.0,2,77,354.0,382,7.5,0,5701,S2,15.0
2950,MT,M,717.0,306,358.0,1,11279.0,2,37,315.0,333,4.85,0,0,R1,2.0
87771,IL,F,1667.0,541,624.0,26,21458.0,8,65,603.0,592,13.33333333,0,6401,U1,20.0
167934,WA,F,843.0,423,486.0,5,16476.0,6,32,424.0,475,10.72727273,28,3201,S2,21.0
26045,GA,F,583.0,360,434.0,5,24198.0,4,22,374.0,405,9.666666667,28,4801,C1,14.0
661,CA,M,1801.0,495,525.0,34,18663.0,3,48,534.0,475,19.47058824,0,6509,U2,20.0
47569,AL,F,863.0,406,562.0,2,19862.0,3,58,527.0,459,9.153846154,0,0,C2,10.0
176743,OR,M,335.0,140,170.0,0,6682.0,7,36,157.0,154,4.857142857,1,201,C3,7.0
188164,TX,,1362.0,575,718.0,8,21447.0,4,63,645.0,627,8.533333333,0,0,S1,10.0
134364,UT,F,700.0,252,302.0,0,12806.0,6,63,257.0,281,20.0,0,0,U2,20.0
93742,IL,F,562.0,360,474.0,0,12391.0,24,69,480.0,388,20.0,2,3504,U3,30.0
39479,FL,M,1287.0,479,616.0,7,20795.0,15,35,508.0,567,4.105769231,2,3306,C2,4.0
54142,TN,F,476.0,210,310.0,0,10171.0,0,55,254.0,272,13.0,2,4601,R2,21.0
168038,CA,M,5939.0,1214,1085.0,99,64833.0,19,42,1211.0,1080,20.0,0,4703,S1,36.0
48675,AL,F,648.0,353,453.0,0,16873.0,0,77,418.0,357,7.0,0,2601,C1,5.0
158980,CA,M,1862.0,365,425.0,23,10521.0,25,45,372.0,401,17.85714286,0,6201,S2,20.0
153888,CA,F,1843.0,515,582.0,34,23660.0,15,29,511.0,575,19.0,0,3801,S1,10.0
162300,CA,M,5190.0,870,918.0,98,39481.0,10,47,892.0,871,9.888888889,1002,2001,S1,20.0
163081,CA,M,3912.0,351,454.0,98,19508.0,22,32,410.0,404,6.0,1,0,U1,7.0
14000,OK,F,1537.0,791,949.0,26,32640.0,2,54,783.0,916,11.0625,0,2101,S1,12.0
6599,WA,F,719.0,330,416.0,1,14248.0,3,57,340.0,389,10.86666667,0,3601,S2,11.0
135454,AZ,M,1074.0,469,516.0,11,18042.0,2,34,472.0,510,8.823529412,0,0,T1,15.0
128643,TX,M,298.0,268,303.0,0,9838.0,3,75,281.0,267,6.625,1,2809,C3,4.0
116420,TX,M,1951.0,807,896.0,49,31111.0,6,32,838.0,870,9.333333333,0,0,S1,20.0
35101,FL,M,1434.0,388,577.0,25,18405.0,3,37,479.0,513,18.0,1,1911,S1,20.0
75474,IA,M,206.0,229,288.0,0,9248.0,0,86,251.0,267,11.66666667,0,0,R3,15.0
785,MI,M,613.0,146,349.0,0,13209.0,39,42,267.0,209,17.5,0,4507,C1,18.0
27624,GA,F,991.0,493,548.0,3,17344.0,2,46,506.0,532,7.769230769,2,3701,T1,8.0
73754,MI,F,900.0,343,465.0,0,16254.0,3,74,420.0,386,13.31818182,0,1801,S1,25.0
141189,NV,F,1163.0,468,548.0,7,18824.0,3,26,493.0,511,53.0,0,0,S2,25.0
1544,HI,F,3260.0,509,581.0,87,19165.0,19,52,542.0,552,13.0,28,5201,S1,10.0
124149,TX,M,430.0,237,320.0,0,10269.0,1,82,283.0,281,12.0,0,1801,T2,14.0
85890,SD,F,167.0,214,290.0,0,9452.0,0,85,273.0,247,14.41176471,2,0,R3,20.0
37005,FL,F,1380.0,260,371.0,14,13011.0,8,26,325.0,299,7.875,0,0,T2,11.0
166324,CA,U,3357.0,284,447.0,73,24240.0,15,33,455.0,343,11.85714286,0,0,U1,19.0
