status,M_Y,noofaccounts,noofclients,moved_amount,nooftrans
B,December.1994,20,20,797771,118
B,December.1995,28,28,750785,144
B,December.1996,31,31,1225044,190
B,December.1997,31,31,1402429,205
B,December.1998,30,30,1740119,174
B,February.1993,1,1,32992,3
B,February.1994,17,17,605752,84
B,February.1995,20,20,569906,94
B,February.1996,28,28,1114365,146
B,February.1997,31,31,1180655,161
B,February.1998,31,31,1034159,170
B,January.1993,1,1,21078,3
B,January.1994,17,17,959814,126
B,January.1995,19,19,1026764,171
B,January.1996,28,28,1485642,212
B,January.1997,31,31,1954616,281
B,January.1998,31,31,1940803,269
B,July.1993,8,8,410141,34
B,July.1994,19,19,688833,99
B,July.1995,24,24,1076022,128
B,July.1996,30,30,1196896,164
B,July.1997,31,31,1878307,198
B,July.1998,31,31,1052059,172
B,June.1993,8,8,364645,38
B,June.1994,19,19,1234911,115
B,June.1995,23,23,839846,114
B,June.1996,29,29,1128581,149
B,June.1997,31,31,2054131,193
B,June.1998,31,31,1853746,197
B,March.1993,4,4,133036,12
B,March.1994,18,18,705224,95
B,March.1995,21,21,870346,105
B,March.1996,28,28,1059085,137
B,March.1997,31,31,1606202,186
B,March.1998,31,31,1201245,169
B,May.1993,6,6,405471,26
B,May.1994,19,19,690489,99
B,May.1995,23,23,934572,123
B,May.1996,29,29,1358607,167
B,May.1997,31,31,1709224,187
B,May.1998,31,31,1516414,174
B,November.1993,15,15,1082085,85
B,November.1994,20,20,1117147,109
B,November.1995,26,26,832736,131
B,November.1996,31,31,1125413,164
B,November.1997,31,31,1460710,176
B,November.1998,31,31,1723135,196
B,October.1993,13,13,648317,66
B,October.1994,19,19,694619,93
B,October.1995,26,26,755126,127
B,October.1996,30,30,1514416,170
B,October.1997,31,31,1435813,180
B,October.1998,31,31,1345043,190
B,September.1993,12,12,930647,68
B,September.1994,19,19,1010617,101
B,September.1995,25,25,962287,134
B,September.1996,30,30,1456714,175
B,September.1997,31,31,1365944,179
B,September.1998,31,31,1379504,187
C,April.1993,3,3,22614,6
C,April.1994,29,29,884530,145
C,April.1995,75,75,2825901,362
C,April.1996,167,167,5327695,764
C,April.1997,329,329,13499473,1714
C,April.1998,403,403,16329104,2228
C,August.1993,12,12,492637,46
C,August.1994,40,40,1272917,187
C,August.1995,100,100,3965864,495
C,August.1996,230,230,8838507,1094
C,August.1997,374,374,14631835,1999
C,August.1998,403,403,16816703,2267
C,December.1993,22,22,780601,97
C,December.1994,53,53,2659999,300
C,December.1995,119,119,5630698,682
C,December.1996,290,290,14973008,1591
C,December.1997,401,401,20868544,2480
C,December.1998,401,401,19931732,2041
C,February.1994,27,27,861023,116
C,February.1995,64,64,1936915,290
C,February.1996,142,142,5009871,662
C,February.1997,312,312,10574918,1464
C,February.1998,403,403,14868039,2107
C,January.1994,25,25,1001998,139
C,January.1995,60,60,2875982,420
C,January.1996,131,131,6031339,961
C,January.1997,303,303,15089241,2289
C,January.1998,402,402,22281876,3471
C,July.1993,9,9,236881,30
C,July.1994,37,37,1458769,189
C,July.1995,93,93,4082786,471
C,July.1996,213,213,8002578,990
C,July.1997,363,363,14635812,1943
C,July.1998,403,403,16507907,2274
C,June.1993,8,8,391624,26
C,June.1994,35,35,1633976,184
C,June.1995,86,86,4495487,449
C,June.1996,192,192,8822650,920
C,June.1997,352,352,18039465,1970
C,June.1998,403,403,23455625,2454
C,March.1993,1,1,300,1
C,March.1994,29,29,1046397,137
C,March.1995,69,69,2721252,339
C,March.1996,152,152,5600232,738
C,March.1997,318,318,12788581,1659
C,March.1998,402,402,16830544,2271
C,May.1993,6,6,155370,18
C,May.1994,31,31,1291445,161
C,May.1995,82,82,3080359,391
C,May.1996,178,178,6842956,844
C,May.1997,341,341,13152240,1797
C,May.1998,403,403,16760961,2278
C,November.1993,21,21,839116,88
C,November.1994,50,50,2157725,261
C,November.1995,116,116,4784775,582
C,November.1996,270,270,10267100,1302
C,November.1997,400,400,15581871,2140
C,November.1998,403,403,16203468,2232
C,October.1993,19,19,514066,67
C,October.1994,44,44,1971078,245
C,October.1995,108,108,4393451,559
C,October.1996,253,253,10447642,1267
C,October.1997,397,397,15946222,2130
C,October.1998,403,403,17438232,2257
C,September.1993,15,15,443238,49
C,September.1994,42,42,1896834,221
C,September.1995,102,102,3933715,503
C,September.1996,241,241,8760728,1125
C,September.1997,388,388,14794928,2017
C,September.1998,403,403,18079396,2292
D,April.1993,1,1,5317,2
D,April.1994,7,7,328504,43
D,April.1995,12,12,595952,70
D,April.1996,27,27,885915,120
D,April.1997,40,40,1660750,223
D,April.1998,45,45,2247317,254
D,August.1993,3,3,32883,10
D,August.1994,10,10,197753,45
D,August.1995,16,16,643143,72
D,August.1996,30,30,1126585,146
D,August.1997,45,45,1203939,203
D,August.1998,45,45,2661772,273
D,December.1993,6,6,190220,29
D,December.1994,11,11,373102,61
D,December.1995,19,19,711514,101
D,December.1996,40,40,1923156,220
D,December.1997,45,45,1785379,269
D,December.1998,42,42,1673423,197
D,February.1994,7,7,212225,36
D,February.1995,12,12,678604,78
D,February.1996,23,23,687867,104
D,February.1997,40,40,1239314,198
D,February.1998,45,45,1661387,252
D,January.1994,7,7,234325,57
D,January.1995,12,12,697608,111
D,January.1996,23,23,830356,147
D,January.1997,39,39,2272576,314
D,January.1998,45,45,2573574,369
D,July.1993,3,3,29828,5
D,July.1994,9,9,381505,50
D,July.1995,13,13,502193,68
D,July.1996,30,30,1193178,151
D,July.1997,44,44,1685498,222
D,July.1998,45,45,2598502,273
D,June.1993,2,2,20434,4
D,June.1994,9,9,361391,46
D,June.1995,12,12,585337,72
D,June.1996,28,28,1320665,153
D,June.1997,43,43,2644830,271
D,June.1998,45,45,2160398,251
D,March.1993,1,1,800,1
D,March.1994,7,7,352726,41
D,March.1995,12,12,611545,66
D,March.1996,24,24,900728,114
D,March.1997,41,41,1580579,213
D,March.1998,45,45,2266090,260
D,May.1993,1,1,63,1
D,May.1994,8,8,272319,46
D,May.1995,12,12,594089,67
D,May.1996,27,27,1120986,114
D,May.1997,41,41,1581687,222
D,May.1998,45,45,2117184,252
D,November.1993,7,7,124388,22
D,November.1994,11,11,396152,56
D,November.1995,19,19,761606,87
D,November.1996,36,36,1440600,169
D,November.1997,45,45,2195192,264
D,November.1998,45,45,1638015,240
D,October.1993,5,5,95849,18
D,October.1994,10,10,352030,54
D,October.1995,17,17,708664,82
D,October.1996,36,36,1641702,186
D,October.1997,45,45,1598086,232
D,October.1998,44,44,2394528,250
D,September.1993,5,5,54255,13
D,September.1994,10,10,325003,53
D,September.1995,17,17,536124,75
D,September.1996,34,34,1274161,161
D,September.1997,45,45,1812774,247
D,September.1998,45,45,1902653,253
