,controln,state,gender,medianhv,ic1,ic4,hvp1,percapita,pobc1,pobc2,ic2,ic3,avggift,tcode,dob,domain,target_d
213,166606,CA,Female,1778.0,411,503.0,27,18236.0,21,41,480.0,439,39.44444444,0,3401,U1,50.0
214,8240,CA,Unknown,1187.0,328,428.0,11,13978.0,11,49,366.0,393,10.81481482,1,0,0,10.0
215,185904,TX,Female,1448.0,651,724.0,18,24736.0,3,49,667.0,698,7.076923077,0,5801,S1,13.0
216,49351,AL,Male,712.0,377,472.0,1,15013.0,0,73,398.0,446,14.2,1,3401,T2,15.0
217,191779,FL,Male,1432.0,636,772.0,24,35544.0,0,44,693.0,680,25.0,1,2701,0,150.0
218,169881,CA,Female,2598.0,470,661.0,74,31631.0,9,36,557.0,562,8.222222222,0,0,C1,15.0
219,144356,CA,Female,2855.0,311,537.0,78,18525.0,28,47,385.0,484,6.538461539,3,0,U2,20.0
220,186528,TX,Female,535.0,244,402.0,3,17053.0,8,86,437.0,317,9.8125,2,2212,C2,15.0
221,14161,WA,Male,703.0,161,232.0,0,8860.0,2,55,206.0,206,7.818181818,0,2805,T3,10.0
222,190839,IL,Male,662.0,352,456.0,1,13460.0,17,60,406.0,394,12.5,1,5601,U3,15.0
223,146269,CA,Female,2973.0,576,654.0,85,18497.0,39,41,591.0,624,7.25,2,4601,U1,10.0
224,188507,CA,Female,2289.0,631,679.0,66,22571.0,8,61,647.0,657,9.769230769,2,2601,T1,10.0
225,116251,TX,Female,1274.0,789,825.0,1,26360.0,4,31,798.0,804,6.409090909,0,505,S1,10.0
226,81945,WI,Male,840.0,458,548.0,11,20327.0,1,79,471.0,513,15.0,1,6401,S1,20.0
227,8989,WA,Female,1024.0,441,472.0,5,13462.0,5,46,451.0,446,10.5,2,1401,T2,32.0
228,47282,AL,Female,558.0,336,398.0,0,13299.0,2,77,354.0,382,7.5,0,5701,S2,15.0
229,2950,MT,Male,717.0,306,358.0,1,11279.0,2,37,315.0,333,4.85,0,0,R1,2.0
230,87771,IL,Female,1667.0,541,624.0,26,21458.0,8,65,603.0,592,13.33333333,0,6401,U1,20.0
231,167934,WA,Female,843.0,423,486.0,5,16476.0,6,32,424.0,475,10.72727273,28,3201,S2,21.0
232,26045,GA,Female,583.0,360,434.0,5,24198.0,4,22,374.0,405,9.666666667,28,4801,C1,14.0
233,661,CA,Male,1801.0,495,525.0,34,18663.0,3,48,534.0,475,19.47058824,0,6509,U2,20.0
234,47569,AL,Female,863.0,406,562.0,2,19862.0,3,58,527.0,459,9.153846154,0,0,C2,10.0
235,176743,OR,Male,335.0,140,170.0,0,6682.0,7,36,157.0,154,4.857142857,1,201,C3,7.0
236,188164,TX,Unknown,1362.0,575,718.0,8,21447.0,4,63,645.0,627,8.533333333,0,0,S1,10.0
237,134364,UT,Female,700.0,252,302.0,0,12806.0,6,63,257.0,281,20.0,0,0,U2,20.0
238,93742,IL,Female,562.0,360,474.0,0,12391.0,24,69,480.0,388,20.0,2,3504,U3,30.0
239,39479,FL,Male,1287.0,479,616.0,7,20795.0,15,35,508.0,567,4.105769231,2,3306,C2,4.0
240,54142,TN,Female,476.0,210,310.0,0,10171.0,0,55,254.0,272,13.0,2,4601,R2,21.0
241,168038,CA,Male,5939.0,1214,1085.0,99,64833.0,19,42,1211.0,1080,20.0,0,4703,S1,36.0
242,48675,AL,Female,648.0,353,453.0,0,16873.0,0,77,418.0,357,7.0,0,2601,C1,5.0
243,158980,CA,Male,1862.0,365,425.0,23,10521.0,25,45,372.0,401,17.85714286,0,6201,S2,20.0
244,153888,CA,Female,1843.0,515,582.0,34,23660.0,15,29,511.0,575,19.0,0,3801,S1,10.0
245,162300,CA,Male,5190.0,870,918.0,98,39481.0,10,47,892.0,871,9.888888889,1002,2001,S1,20.0
246,163081,CA,Male,3912.0,351,454.0,98,19508.0,22,32,410.0,404,6.0,1,0,U1,7.0
247,14000,OK,Female,1537.0,791,949.0,26,32640.0,2,54,783.0,916,11.0625,0,2101,S1,12.0
248,6599,WA,Female,719.0,330,416.0,1,14248.0,3,57,340.0,389,10.86666667,0,3601,S2,11.0
249,135454,AZ,Male,1074.0,469,516.0,11,18042.0,2,34,472.0,510,8.823529412,0,0,T1,15.0
